model,model_family,variant,schedule,ckpt_step,split,breakdown,bucket,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K6_N4,0.9975,800,798,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K6_N6,0.992,1000,992,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K6_N8,0.9633333333333334,1200,1156,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K6_N10,0.9021428571428571,1400,1263,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K6_N12,0.836,2000,1672,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N2,1.0,400,400,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N4,0.995,800,796,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N6,0.981,1000,981,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N8,0.9058333333333334,1200,1087,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N10,0.7942857142857143,1400,1112,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K8_N12,0.705,2000,1410,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N2,1.0,400,400,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N4,0.98375,800,787,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N6,0.94,1000,940,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N8,0.8133333333333334,1200,976,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N10,0.18428571428571427,1400,258,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K10_N12,0.172,2000,344,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N2,1.0,400,400,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N4,0.95625,800,765,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N6,0.895,1000,895,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N8,0.7516666666666667,1200,902,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N10,0.16142857142857142,1400,226,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_cell,K12_N12,0.1675,2000,335,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_duplicate,True,0.7641898620133719,21089,16116,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,"chance 0.10; True = the target value also occurs elsewhere in the queried key's history, so a 'most frequent value' shortcut can score; False is the shortcut-free measure"
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_duplicate,False,0.8393282938460758,19711,16544,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,"chance 0.10; True = the target value also occurs elsewhere in the queried key's history, so a 'most frequent value' shortcut can score; False is the shortcut-free measure"
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,overall,,0.6325,24000,15180,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_role,intermediate,0.6325,24000,15180,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,2,0.8488333333333333,6000,5093,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,4,0.6031666666666666,6000,3619,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,5,0.7676666666666667,3000,2303,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,held_out,by_step,6,0.5493333333333333,3000,1648,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
