model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,16,0.470588,0.12345294227336903,0.0026447754065900228,14.45847651775487,0.24758646682165178,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,17,0.5,0.14100935027571326,0.010368946628120303,13.386201017608354,0.270072995450514,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,18,0.529412,0.7846120035163431,0.007974897782154846,1.757164548869176,0.8604217245826595,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,19,0.558824,0.7737686139747995,0.016101568038961758,1.8357135246010814,0.8530710766312912,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,20,0.588235,0.7954607208503157,0.011009034481396665,1.8232864487599563,0.8629835683974271,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,21,0.617647,0.791837821998455,0.006686610860936727,1.939512240603106,0.8565474122514217,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,22,0.647059,0.8042435866698634,0.011796940394389386,1.7959375582727297,0.8690583321521734,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,23,0.676471,0.8187112070113749,0.017171034454842492,1.7210993899677667,0.8808875025820925,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,24,0.705882,0.9044420469378514,0.004324947695071652,1.2644662883934044,0.9434613978770152,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,25,0.735294,0.9080609499453901,0.0057475473062111515,1.239159274354671,0.9459357084677069,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,26,0.764706,0.914769972561869,0.006770291574315325,1.2696355789978424,0.9479520495449261,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,27,0.794118,0.9225205785982578,0.006738667602261038,1.216963691094595,0.9526827314030273,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,28,0.823529,0.9245837662164682,0.007409315457011643,1.2035323263805644,0.9542483047940022,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,29,0.852941,0.928718133141533,0.007776651313441536,1.1802884999600416,0.9570033828303227,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,30,0.882353,0.9152920962199314,0.005470425519669078,1.189062042142838,0.950883805392656,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,31,0.911765,0.9183888755694077,0.008423888508977927,1.1782119928607582,0.9527018482684989,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,32,0.941176,0.9276845414102667,0.010215254939803221,1.1529036468739178,0.9577274913849052,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,33,0.970588,0.9302698526865394,0.00993134807304789,1.1487706118969605,0.9593184535413617,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,34,1.0,0.9338874237459709,0.0077396780288519155,1.1343043235035561,0.9615605291900945,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,0,0.0,0.02582647380058073,2.6638962146034727e-05,23.18337062788034,0.10511527624728283,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,1,0.029412,0.027886997522576517,0.015524381504031456,23.359155811289593,0.10705821989201784,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,2,0.058824,0.02944138096379765,0.010018621487316338,22.30916646687445,0.11048635307199002,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,3,0.088235,0.032024028343855725,0.009470253701650479,22.394680199259437,0.11391270561865581,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,4,0.117647,0.026860065531846878,0.01196586953027248,22.58222248861184,0.11017548556022408,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,5,0.147059,0.025308345986840352,0.003785790179725993,22.620454727083832,0.1111410035263366,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,6,0.176471,0.027889661418791123,0.005251708395730259,23.41645755081382,0.10789305467828562,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,7,0.205882,0.032538160313274195,0.0075790918448720825,23.268937638189612,0.11084832922239221,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,8,0.235294,0.027376861397479958,0.011037643008458373,23.429300194464425,0.10756238128120481,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_last,0.1,9,0.264706,0.03150590053011535,0.004718312948468991,23.85330456325422,0.10993667701273865,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
