model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,n_probe,chance,best_layer,best_top1,best_rel_depth,mean_top1,behavioral_acc,estimable,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,1250,0.02,34,0.9904,1.0,0.4684342857142857,0.9904,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,semantic,FVQ,1,all,expected,0.1,1250,0.02,34,0.9936,1.0,0.47259428571428586,0.992,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,all,expected,0.1,3000,0.02,30,0.6526666666666667,0.882353,0.2887904761904762,0.3546666666666667,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k3,3,all,expected,0.1,3000,0.02,33,0.29300000000000004,0.970588,0.0928,0.012666666666666666,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k4,4,all,expected,0.1,2200,0.02,33,0.18409090909090908,0.970588,0.056350649350649346,0.0013636363636363637,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,ordinal,k5,5,all,expected,0.1,3000,0.02,31,0.2416666666666667,0.911765,0.0776,0.0036666666666666666,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,semantic,CVQ,5,all,expected,0.1,3000,0.02,31,0.9513333333333334,0.911765,0.38241904761904766,0.9183333333333333,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,1238,0.02,30,0.9991902834008097,0.882353,0.4733520214929383,0.9904,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,semantic,FVQ,1,correct,expected,0.1,1240,0.02,27,0.9991935483870968,0.794118,0.47638248847926273,0.992,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,correct,expected,0.1,1064,0.02,30,0.9727566657808486,0.882353,0.4160058463991496,0.3546666666666667,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k3,3,correct,,,38,0.02,,,,,0.012666666666666666,False,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,"n=38 < min_n=200, skipped"
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k4,4,correct,,,3,0.02,,,,,0.0013636363636363637,False,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,"n=3 < min_n=200, skipped"
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,ordinal,k5,5,correct,,,11,0.02,,,,,0.0036666666666666666,False,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,"n=11 < min_n=200, skipped"
gemma-3-4b-it,Gemma-3,base,10,5,CVQ,semantic,CVQ,5,correct,expected,0.1,2755,0.02,31,0.9970961887477314,0.911765,0.40304900181488207,0.9183333333333333,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
