model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,0,0.0,0.0304,0.0019595917942265423,22.3104,0.11342337895686505,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,1,0.029412,0.0144,0.006974238309665078,25.644799999999996,0.0873298637634635,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,2,0.058824,0.0184,0.007418894796396563,24.4376,0.09453582695464346,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,3,0.088235,0.0168,0.009927738916792685,24.540799999999997,0.0919308529903039,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,4,0.117647,0.020800000000000003,0.014176036117335481,24.6064,0.09416935760076842,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,5,0.147059,0.023200000000000002,0.013948476619330156,24.713600000000003,0.09411481728871,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,6,0.176471,0.019200000000000002,0.009927738916792685,24.709600000000002,0.09347300731495999,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,7,0.205882,0.019200000000000002,0.014176036117335481,23.761599999999998,0.09876527784491576,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,8,0.235294,0.0224,0.01352922762023021,24.0336,0.0993065691418305,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,9,0.264706,0.0224,0.013763720427268202,23.4752,0.10317853036895083,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,10,0.294118,0.028800000000000003,0.017045820602130016,23.916800000000002,0.10308058023914504,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,11,0.323529,0.0264,0.011200000000000002,23.84,0.10182267974666712,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,12,0.352941,0.023200000000000002,0.01142628548566856,23.8728,0.10346410313826312,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,13,0.382353,0.032,0.014085453489327207,22.4904,0.11494107788609535,5,False,1250,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
