model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,7,100,100,B,0.18,0.11,0.26,82,71,0.01,0.0,0.03,99,74,-0.17
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,5,100,C,0.61,0.51,0.71,39,27,0.27,0.19,0.36,73,21,-0.34
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,7,100,C,0.56,0.47,0.66,44,32,0.2,0.12,0.28,80,33,-0.36
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,10,100,C,0.54,0.44,0.64,46,37,0.17,0.1,0.25,83,33,-0.37
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,15,100,C,0.45,0.35,0.54,55,47,0.07,0.02,0.12,93,35,-0.38
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,20,100,C,0.31,0.22,0.4,69,62,0.01,0.0,0.04,99,46,-0.3
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,30,100,B,0.29,0.2,0.38,71,61,0.04,0.01,0.08,96,56,-0.25
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,50,100,B,0.23,0.15,0.31,77,71,0.01,0.0,0.03,99,71,-0.22
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,10,75,100,AB,0.09,0.04,0.15,91,77,0.01,0.0,0.03,99,79,-0.08
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,5,100,C,0.47,0.37,0.57,53,48,0.18,0.11,0.25,82,35,-0.29
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,7,100,C,0.54,0.44,0.64,46,39,0.12,0.06,0.19,88,31,-0.42
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,10,100,C,0.36,0.27,0.45,64,57,0.06,0.02,0.11,94,38,-0.3
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,15,100,C,0.42,0.32,0.52,58,53,0.04,0.01,0.08,96,60,-0.38
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,20,100,C,0.3,0.22,0.39,70,52,0.03,0.0,0.07,97,51,-0.27
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,30,100,C,0.26,0.18,0.34,74,67,0.01,0.0,0.03,99,70,-0.25
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,50,100,AB,0.11,0.05,0.18,89,79,0.0,0.0,0.0,100,76,-0.11
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,75,100,AB,0.12,0.06,0.19,88,84,0.03,0.0,0.07,97,87,-0.09
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,15,100,100,A,0.06,0.02,0.11,94,83,0.03,0.0,0.07,97,81,-0.03
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,5,100,C,0.42,0.32,0.51,58,51,0.1,0.04,0.16,90,33,-0.32
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,7,100,C,0.39,0.29,0.49,61,52,0.09,0.04,0.15,91,45,-0.3
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,10,100,C,0.37,0.27,0.47,63,55,0.03,0.0,0.06,97,56,-0.34
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,15,100,C,0.29,0.21,0.38,71,67,0.02,0.0,0.05,98,58,-0.27
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,20,100,B,0.25,0.17,0.34,75,69,0.02,0.0,0.05,98,63,-0.23
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,30,100,AB,0.11,0.05,0.17,89,81,0.01,0.0,0.0302,99,73,-0.1
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,50,100,D,0.03,0.0,0.07,97,84,0.04,0.01,0.08,96,83,0.01
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,75,100,D,0.04,0.01,0.08,96,86,0.05,0.01,0.1,95,82,0.01
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,20,100,100,B,0.24,0.15,0.32,76,51,0.07,0.02,0.13,93,66,-0.17
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,5,100,B,0.37,0.28,0.47,63,57,0.13,0.07,0.2,87,50,-0.24
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,7,100,B,0.29,0.2,0.38,71,64,0.06,0.02,0.11,94,46,-0.23
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,10,100,C,0.33,0.24,0.42,67,60,0.03,0.0,0.07,97,52,-0.3
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,15,100,AB,0.11,0.05,0.18,89,82,0.03,0.0,0.07,97,57,-0.08
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,20,100,AB,0.21,0.13,0.29,79,70,0.07,0.02,0.12,93,60,-0.14
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,30,100,AB,0.08,0.03,0.14,92,82,0.0,0.0,0.0,100,75,-0.08
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,50,100,AB,0.11,0.05,0.18,89,79,0.02,0.0,0.05,98,83,-0.09
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,25,75,100,AB,0.16,0.1,0.24,84,65,0.03,0.0,0.07,97,74,-0.13
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,5,100,C,0.31,0.22,0.4,69,63,0.06,0.02,0.11,94,50,-0.25
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,7,100,B,0.26,0.18,0.35,74,70,0.02,0.0,0.05,98,50,-0.24
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,10,100,B,0.25,0.16,0.34,75,65,0.02,0.0,0.05,98,54,-0.23
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,15,100,B,0.2,0.13,0.28,80,72,0.02,0.0,0.05,98,68,-0.18
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,20,100,AB,0.09,0.04,0.15,91,86,0.01,0.0,0.03,99,77,-0.08
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,30,100,A,0.04,0.01,0.08,96,89,0.01,0.0,0.03,99,82,-0.03
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,50,100,D,0.03,0.0,0.07,97,90,0.04,0.01,0.08,96,78,0.01
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,30,75,100,A,0.08,0.03,0.13,92,66,0.08,0.03,0.14,92,70,0.0
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,5,100,C,0.99,0.97,1.0,1,0,0.57,0.47,0.66,43,0,-0.42
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,7,100,C,0.97,0.94,1.0,3,2,0.46,0.3698,0.56,54,0,-0.51
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,10,100,C,0.97,0.93,1.0,3,1,0.36,0.26,0.46,64,1,-0.61
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,15,100,C,0.96,0.92,0.99,4,0,0.35,0.26,0.45,65,2,-0.61
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,20,100,C,0.98,0.95,1.0,2,2,0.29,0.2,0.38,71,1,-0.69
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,30,100,C,0.98,0.95,1.0,2,1,0.2,0.12,0.28,80,6,-0.78
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,50,100,C,0.98,0.95,1.0,2,1,0.17,0.1,0.25,83,7,-0.81
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,75,100,C,0.97,0.93,1.0,3,0,0.17,0.1,0.25,83,10,-0.8
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2,100,100,C,0.98,0.95,1.0,2,2,0.06,0.02,0.11,94,21,-0.92
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,5,100,C,0.95,0.9,0.99,5,1,0.27,0.1898,0.36,73,0,-0.68
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,7,100,C,0.97,0.93,1.0,3,0,0.34,0.2498,0.43,66,1,-0.63
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,10,100,C,0.89,0.83,0.9402,11,2,0.26,0.18,0.35,74,2,-0.63
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,15,100,C,0.92,0.86,0.97,8,2,0.23,0.16,0.3102,77,1,-0.69
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,20,100,C,0.96,0.92,0.99,4,1,0.22,0.14,0.31,78,3,-0.74
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,30,100,C,0.95,0.9,0.99,5,0,0.18,0.11,0.25,82,7,-0.77
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,50,100,C,0.87,0.8,0.93,13,3,0.12,0.06,0.18,88,15,-0.75
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,75,100,C,0.92,0.86,0.97,8,5,0.12,0.06,0.19,88,15,-0.8
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,3,100,100,C,0.84,0.76,0.91,16,5,0.12,0.06,0.19,88,11,-0.72
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,5,100,C,0.98,0.95,1.0,2,0,0.18,0.11,0.26,82,0,-0.8
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,7,100,C,0.94,0.89,0.98,6,2,0.24,0.16,0.33,76,1,-0.7
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,10,100,C,0.85,0.77,0.92,15,4,0.26,0.18,0.35,74,1,-0.59
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,15,100,C,0.86,0.79,0.92,14,3,0.24,0.16,0.3202,76,6,-0.62
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,20,100,C,0.85,0.78,0.9102,15,2,0.21,0.13,0.29,79,6,-0.64
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,30,100,C,0.85,0.78,0.92,15,1,0.21,0.14,0.29,79,2,-0.64
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,50,100,C,0.77,0.68,0.85,23,5,0.11,0.06,0.17,89,10,-0.66
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,75,100,C,0.68,0.59,0.77,32,12,0.1,0.04,0.16,90,12,-0.58
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,5,100,100,C,0.72,0.63,0.81,28,17,0.12,0.06,0.19,88,13,-0.6
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,5,100,C,0.93,0.88,0.98,7,2,0.23,0.15,0.31,77,0,-0.7
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,7,100,C,0.92,0.86,0.97,8,0,0.2,0.12,0.28,80,2,-0.72
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,10,100,C,0.87,0.8,0.93,13,2,0.31,0.22,0.4,69,2,-0.56
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,15,100,C,0.83,0.76,0.9,17,3,0.2,0.13,0.28,80,1,-0.63
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,20,100,C,0.77,0.69,0.85,23,2,0.19,0.12,0.27,81,2,-0.58
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,30,100,C,0.66,0.57,0.75,34,10,0.2,0.13,0.28,80,6,-0.46
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,50,100,C,0.56,0.47,0.65,44,10,0.09,0.04,0.15,91,14,-0.47
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,75,100,C,0.52,0.42,0.61,48,15,0.13,0.07,0.2,87,17,-0.39
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,7,100,100,C,0.54,0.45,0.64,46,13,0.1,0.05,0.16,90,17,-0.44
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,5,100,C,0.96,0.91,0.99,4,0,0.2,0.12,0.28,80,2,-0.76
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,7,100,C,0.85,0.77,0.92,15,0,0.16,0.09,0.24,84,1,-0.69
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,10,100,C,0.83,0.75,0.9,17,3,0.13,0.07,0.2,87,1,-0.7
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,15,100,C,0.74,0.65,0.82,26,3,0.18,0.11,0.26,82,1,-0.56
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,20,100,C,0.59,0.49,0.68,41,6,0.15,0.08,0.22,85,6,-0.44
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,30,100,C,0.43,0.32,0.53,57,15,0.17,0.1,0.24,83,5,-0.26
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,50,100,C,0.5,0.4098,0.6,50,16,0.11,0.05,0.17,89,10,-0.39
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,10,75,100,C,0.42,0.32,0.52,58,23,0.1,0.05,0.16,90,12,-0.32
