model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,50,100,AB,0.15,0.08,0.22,85,17,0.07,0.03,0.12,93,15,-0.08
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,25,75,100,A,0.1,0.04,0.16,90,33,0.08,0.03,0.14,92,30,-0.02
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,5,100,C,0.64,0.55,0.73,36,2,0.1,0.05,0.16,90,4,-0.54
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,7,100,C,0.46,0.36,0.56,54,3,0.14,0.08,0.21,86,2,-0.32
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,10,100,B,0.33,0.24,0.42,67,5,0.14,0.08,0.21,86,2,-0.19
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,15,100,C,0.37,0.28,0.46,63,8,0.12,0.06,0.19,88,2,-0.25
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,20,100,AB,0.21,0.13,0.29,79,9,0.12,0.06,0.18,88,10,-0.09
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,30,100,AB,0.19,0.11,0.27,81,13,0.13,0.07,0.2,87,8,-0.06
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,50,100,A,0.11,0.05,0.17,89,24,0.09,0.04,0.15,91,10,-0.02
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,30,75,100,D,0.08,0.03,0.13,92,32,0.09,0.04,0.15,91,20,0.01
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,5,100,AB,1.0,1.0,1.0,0,0,0.94,0.89,0.98,6,1,-0.06
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,7,100,B,1.0,1.0,1.0,0,0,0.76,0.68,0.84,24,1,-0.24
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,10,100,C,1.0,1.0,1.0,0,0,0.67,0.57,0.76,33,2,-0.33
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,15,100,C,0.99,0.97,1.0,1,0,0.61,0.51,0.7,39,5,-0.38
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,20,100,C,1.0,1.0,1.0,0,0,0.46,0.36,0.56,54,10,-0.54
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,30,100,C,1.0,1.0,1.0,0,0,0.51,0.41,0.61,49,11,-0.49
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,50,100,C,0.95,0.91,0.99,5,4,0.38,0.28,0.47,62,19,-0.57
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,75,100,C,1.0,1.0,1.0,0,0,0.27,0.18,0.36,73,23,-0.73
Qwen2.5-3B,Qwen/Qwen2.5-3B,2,100,100,C,0.94,0.89,0.98,6,6,0.23,0.15,0.31,77,30,-0.71
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,5,100,AB,0.96,0.92,0.99,4,1,0.87,0.8,0.93,13,3,-0.09
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,7,100,C,0.96,0.92,0.99,4,1,0.7,0.6,0.79,30,7,-0.26
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,10,100,C,0.92,0.86,0.97,8,5,0.63,0.53,0.72,37,9,-0.29
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,15,100,C,0.93,0.8798,0.97,7,6,0.63,0.5398,0.73,37,5,-0.3
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,20,100,B,0.86,0.79,0.92,14,6,0.64,0.55,0.73,36,3,-0.22
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,30,100,B,0.75,0.66,0.83,25,13,0.55,0.45,0.65,45,8,-0.2
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,50,100,B,0.74,0.65,0.83,26,20,0.56,0.47,0.66,44,12,-0.18
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,75,100,B,0.6,0.5,0.7,40,26,0.42,0.33,0.51,58,12,-0.18
Qwen2.5-3B,Qwen/Qwen2.5-3B,3,100,100,AB,0.56,0.46,0.66,44,24,0.42,0.32,0.52,58,20,-0.14
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,5,100,AB,0.88,0.81,0.94,12,5,0.75,0.66,0.83,25,8,-0.13
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,7,100,AB,0.78,0.7,0.86,22,9,0.73,0.65,0.81,27,2,-0.05
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,10,100,AB,0.73,0.64,0.82,27,14,0.67,0.58,0.7502,33,6,-0.06
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,15,100,AB,0.67,0.5798,0.76,33,21,0.6,0.51,0.7,40,2,-0.07
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,20,100,D,0.44,0.34,0.54,56,20,0.66,0.57,0.75,34,1,0.22
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,30,100,D,0.43,0.33,0.52,57,27,0.53,0.43,0.63,47,10,0.1
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,50,100,D,0.33,0.24,0.42,67,41,0.52,0.42,0.61,48,14,0.19
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,75,100,D,0.35,0.26,0.44,65,25,0.49,0.4,0.59,51,10,0.14
Qwen2.5-3B,Qwen/Qwen2.5-3B,5,100,100,D,0.28,0.2,0.37,72,29,0.53,0.43,0.62,47,10,0.25
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,5,100,A,0.73,0.65,0.82,27,6,0.71,0.62,0.8,29,9,-0.02
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,7,100,A,0.65,0.55,0.75,35,8,0.65,0.55,0.74,35,6,0.0
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,10,100,AB,0.64,0.54,0.73,36,15,0.53,0.4398,0.63,47,6,-0.11
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,15,100,D,0.53,0.44,0.63,47,19,0.59,0.49,0.69,41,6,0.06
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,20,100,D,0.43,0.34,0.53,57,23,0.49,0.3998,0.59,51,8,0.06
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,30,100,D,0.21,0.13,0.29,79,23,0.5,0.4,0.6,50,8,0.29
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,50,100,D,0.2,0.13,0.28,80,30,0.58,0.48,0.68,42,13,0.38
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,75,100,D,0.19,0.12,0.27,81,25,0.59,0.49,0.69,41,8,0.4
Qwen2.5-3B,Qwen/Qwen2.5-3B,7,100,100,D,0.14,0.07,0.22,86,30,0.45,0.35,0.55,55,15,0.31
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,5,100,AB,0.69,0.6,0.78,31,9,0.61,0.51,0.7,39,6,-0.08
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,7,100,D,0.47,0.3798,0.57,53,7,0.57,0.47,0.67,43,8,0.1
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,10,100,D,0.45,0.35,0.55,55,16,0.56,0.46,0.66,44,3,0.11
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,15,100,D,0.26,0.18,0.35,74,13,0.47,0.38,0.57,53,6,0.21
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,20,100,D,0.28,0.19,0.37,72,19,0.52,0.42,0.62,48,7,0.24
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,30,100,D,0.19,0.11,0.27,81,16,0.54,0.44,0.63,46,8,0.35
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,50,100,D,0.12,0.06,0.19,88,19,0.57,0.47,0.66,43,9,0.45
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,75,100,D,0.11,0.05,0.17,89,30,0.45,0.35,0.55,55,14,0.34
Qwen2.5-3B,Qwen/Qwen2.5-3B,10,100,100,D,0.12,0.06,0.19,88,34,0.43,0.33,0.53,57,20,0.31
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,5,100,D,0.45,0.36,0.55,55,6,0.63,0.54,0.72,37,4,0.18
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,7,100,D,0.35,0.26,0.44,65,11,0.53,0.43,0.63,47,2,0.18
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,10,100,D,0.21,0.13,0.29,79,23,0.56,0.46,0.66,44,8,0.35
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,15,100,D,0.16,0.09,0.23,84,17,0.55,0.45,0.6402,45,12,0.39
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,20,100,D,0.11,0.05,0.17,89,11,0.59,0.49,0.69,41,11,0.48
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,30,100,D,0.1,0.05,0.16,90,16,0.64,0.55,0.73,36,7,0.54
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,50,100,D,0.12,0.06,0.19,88,15,0.5,0.4,0.6,50,15,0.38
Qwen2.5-3B,Qwen/Qwen2.5-3B,15,75,100,D,0.1,0.04,0.16,90,35,0.4,0.31,0.5,60,18,0.3
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,5,100,D,0.41,0.31,0.51,59,12,0.58,0.4898,0.68,42,3,0.17
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,7,100,D,0.28,0.19,0.38,72,2,0.53,0.43,0.63,47,6,0.25
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,10,100,D,0.21,0.13,0.29,79,17,0.54,0.44,0.64,46,11,0.33
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,15,100,D,0.13,0.07,0.2,87,13,0.65,0.56,0.74,35,7,0.52
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,20,100,D,0.06,0.02,0.11,94,15,0.55,0.46,0.65,45,20,0.49
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,30,100,D,0.07,0.03,0.13,93,21,0.53,0.44,0.62,47,12,0.46
Qwen2.5-3B,Qwen/Qwen2.5-3B,20,50,100,D,0.08,0.03,0.14,92,35,0.49,0.39,0.59,51,15,0.41
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,5,100,D,0.34,0.25,0.44,66,9,0.49,0.39,0.59,51,5,0.15
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,7,100,D,0.21,0.14,0.3,79,12,0.55,0.45,0.65,45,9,0.34
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,10,100,D,0.08,0.03,0.14,92,10,0.5,0.4,0.6,50,13,0.42
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,15,100,D,0.15,0.08,0.22,85,20,0.36,0.27,0.46,64,16,0.21
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,20,100,D,0.06,0.02,0.11,94,16,0.56,0.46,0.65,44,12,0.5
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,30,100,D,0.05,0.01,0.1,95,22,0.52,0.42,0.62,48,15,0.47
Qwen2.5-3B,Qwen/Qwen2.5-3B,25,50,100,D,0.02,0.0,0.05,98,44,0.48,0.38,0.57,52,20,0.46
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,5,100,D,0.25,0.17,0.34,75,15,0.62,0.52,0.71,38,4,0.37
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,7,100,D,0.17,0.1,0.25,83,17,0.63,0.53,0.72,37,8,0.46
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,10,100,D,0.11,0.06,0.1702,89,14,0.57,0.47,0.66,43,11,0.46
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,15,100,D,0.07,0.02,0.12,93,15,0.53,0.43,0.62,47,10,0.46
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,20,100,D,0.06,0.02,0.11,94,17,0.47,0.37,0.57,53,8,0.41
Qwen2.5-3B,Qwen/Qwen2.5-3B,30,30,100,D,0.09,0.04,0.15,91,21,0.45,0.35,0.55,55,17,0.36
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,5,100,AB,0.86,0.79,0.9202,14,0,0.73,0.64,0.8102,27,1,-0.13
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,7,100,C,0.89,0.82,0.94,11,0,0.62,0.53,0.71,38,0,-0.27
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,10,100,C,0.87,0.8,0.93,13,0,0.55,0.45,0.65,45,1,-0.32
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,15,100,C,0.82,0.74,0.89,18,3,0.44,0.3498,0.53,56,0,-0.38
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,20,100,C,0.84,0.76,0.91,16,0,0.47,0.37,0.57,53,1,-0.37
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,30,100,C,0.86,0.79,0.92,14,0,0.41,0.32,0.51,59,5,-0.45
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,50,100,C,0.89,0.83,0.95,11,1,0.26,0.18,0.35,74,12,-0.63
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,75,100,C,0.98,0.95,1.0,2,0,0.23,0.15,0.32,77,12,-0.75
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,2,100,100,C,0.95,0.91,0.99,5,0,0.25,0.17,0.34,75,18,-0.7
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,5,100,AB,0.87,0.8,0.93,13,0,0.8,0.72,0.87,20,0,-0.07
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,7,100,B,0.82,0.74,0.89,18,1,0.65,0.56,0.74,35,0,-0.17
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,10,100,C,0.87,0.8,0.93,13,0,0.58,0.48,0.68,42,0,-0.29
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,15,100,C,0.89,0.83,0.95,11,1,0.41,0.3198,0.51,59,0,-0.48
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,20,100,C,0.79,0.71,0.87,21,2,0.51,0.41,0.6002,49,2,-0.28
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,30,100,C,0.86,0.79,0.93,14,5,0.42,0.32,0.52,58,8,-0.44
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,50,100,C,0.84,0.77,0.91,16,3,0.34,0.2498,0.43,66,9,-0.5
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,75,100,C,0.8,0.71,0.8702,20,7,0.29,0.2,0.39,71,8,-0.51
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,3,100,100,C,0.81,0.73,0.88,19,4,0.35,0.26,0.4402,65,11,-0.46
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,5,100,AB,0.79,0.71,0.87,21,2,0.68,0.58,0.7702,32,0,-0.11
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,7,100,C,0.84,0.7698,0.91,16,0,0.58,0.4798,0.68,42,1,-0.26
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,10,100,C,0.87,0.8,0.93,13,0,0.54,0.44,0.64,46,0,-0.33
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,15,100,AB,0.67,0.58,0.76,33,4,0.57,0.48,0.66,43,2,-0.1
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,20,100,B,0.68,0.59,0.77,32,1,0.53,0.43,0.63,47,4,-0.15
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,30,100,B,0.7,0.61,0.78,30,5,0.52,0.43,0.62,48,4,-0.18
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,50,100,C,0.68,0.59,0.77,32,2,0.43,0.34,0.53,57,8,-0.25
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,75,100,C,0.69,0.6,0.78,31,4,0.43,0.33,0.53,57,14,-0.26
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,5,100,100,A,0.5,0.4,0.59,50,5,0.48,0.38,0.58,52,3,-0.02
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,5,100,A,0.69,0.6,0.78,31,1,0.69,0.6,0.78,31,0,0.0
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,7,100,B,0.73,0.64,0.81,27,1,0.57,0.48,0.67,43,0,-0.16
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,10,100,B,0.7,0.61,0.79,30,0,0.52,0.42,0.62,48,1,-0.18
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,15,100,C,0.72,0.6398,0.81,28,0,0.43,0.3398,0.53,57,4,-0.29
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,20,100,AB,0.66,0.57,0.75,34,6,0.52,0.42,0.62,48,1,-0.14
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,30,100,AB,0.5,0.4,0.6,50,2,0.38,0.28,0.48,62,6,-0.12
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,50,100,AB,0.52,0.42,0.62,48,3,0.46,0.36,0.55,54,2,-0.06
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,75,100,D,0.44,0.35,0.54,56,4,0.51,0.41,0.61,49,6,0.07
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,7,100,100,D,0.37,0.28,0.47,63,13,0.55,0.45,0.64,45,6,0.18
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,5,100,B,0.76,0.67,0.84,24,0,0.57,0.47,0.66,43,0,-0.19
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,7,100,AB,0.63,0.53,0.72,37,3,0.51,0.41,0.6,49,3,-0.12
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,10,100,B,0.62,0.52,0.72,38,2,0.4,0.3,0.5,60,5,-0.22
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,15,100,D,0.49,0.39,0.58,51,4,0.52,0.42,0.6102,48,4,0.03
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,20,100,D,0.44,0.34,0.54,56,3,0.52,0.42,0.62,48,7,0.08
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,30,100,D,0.41,0.32,0.51,59,5,0.46,0.36,0.55,54,9,0.05
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,50,100,D,0.42,0.32,0.52,58,4,0.5,0.4,0.6,50,6,0.08
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,75,100,D,0.22,0.14,0.3,78,14,0.58,0.48,0.67,42,4,0.36
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,10,100,100,D,0.22,0.14,0.3,78,6,0.56,0.46,0.6502,44,10,0.34
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,5,100,AB,0.65,0.55,0.74,35,2,0.57,0.47,0.66,43,0,-0.08
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,7,100,AB,0.58,0.48,0.67,42,1,0.45,0.36,0.55,55,1,-0.13
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,10,100,AB,0.58,0.48,0.67,42,2,0.46,0.36,0.56,54,3,-0.12
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,15,100,D,0.44,0.35,0.54,56,3,0.49,0.39,0.59,51,4,0.05
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,20,100,D,0.32,0.23,0.42,68,5,0.58,0.48,0.67,42,4,0.26
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,30,100,D,0.35,0.2598,0.44,65,4,0.6,0.5,0.69,40,8,0.25
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,50,100,D,0.18,0.11,0.26,82,9,0.59,0.49,0.68,41,6,0.41
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,75,100,D,0.11,0.05,0.18,89,9,0.56,0.46,0.66,44,8,0.45
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,15,100,100,D,0.06,0.02,0.11,94,22,0.5,0.4,0.6,50,8,0.44
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,5,100,B,0.64,0.54,0.73,36,0,0.4,0.31,0.5,60,1,-0.24
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,7,100,B,0.61,0.52,0.71,39,2,0.42,0.33,0.52,58,0,-0.19
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,10,100,A,0.5,0.4,0.6,50,4,0.45,0.35,0.55,55,2,-0.05
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,15,100,D,0.34,0.25,0.4202,66,3,0.5,0.4,0.6,50,6,0.16
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,20,100,D,0.21,0.13,0.29,79,11,0.53,0.44,0.63,47,11,0.32
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,30,100,D,0.21,0.13,0.29,79,8,0.51,0.41,0.6,49,4,0.3
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,50,100,D,0.08,0.03,0.13,92,8,0.62,0.53,0.71,38,8,0.54
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,75,100,D,0.06,0.02,0.11,94,16,0.56,0.46,0.66,44,8,0.5
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,20,100,100,D,0.03,0.0,0.07,97,24,0.55,0.4598,0.65,45,15,0.52
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,5,100,C,0.65,0.55,0.74,35,2,0.35,0.25,0.44,65,2,-0.3
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,7,100,AB,0.53,0.44,0.63,47,2,0.46,0.37,0.55,54,3,-0.07
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,10,100,D,0.29,0.21,0.38,71,3,0.46,0.37,0.55,54,6,0.17
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,15,100,D,0.34,0.25,0.43,66,1,0.58,0.49,0.68,42,11,0.24
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,20,100,D,0.16,0.09,0.23,84,5,0.61,0.51,0.7,39,5,0.45
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,30,100,D,0.15,0.08,0.22,85,5,0.59,0.49,0.68,41,7,0.44
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,50,100,D,0.05,0.01,0.1,95,18,0.43,0.34,0.53,57,9,0.38
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,25,75,100,D,0.06,0.02,0.11,94,11,0.6,0.5,0.6902,40,8,0.54
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,5,100,AB,0.57,0.47,0.67,43,0,0.42,0.32,0.52,58,1,-0.15
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,7,100,B,0.55,0.45,0.64,45,2,0.39,0.3,0.48,61,2,-0.16
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,10,100,D,0.26,0.18,0.35,74,2,0.4,0.3,0.49,60,7,0.14
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,15,100,D,0.29,0.2,0.39,71,8,0.52,0.42,0.61,48,11,0.23
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,20,100,D,0.22,0.14,0.3,78,9,0.57,0.47,0.67,43,5,0.35
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,30,100,D,0.12,0.06,0.19,88,9,0.6,0.51,0.69,40,6,0.48
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,50,100,D,0.04,0.01,0.08,96,8,0.54,0.44,0.64,46,7,0.5
Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,30,75,100,D,0.01,0.0,0.03,99,15,0.56,0.46,0.66,44,12,0.55
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,5,100,C,0.97,0.93,1.0,3,2,0.05,0.01,0.0902,95,7,-0.92
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,7,100,C,0.98,0.95,1.0,2,1,0.02,0.0,0.05,98,10,-0.96
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,10,100,C,0.9,0.83,0.95,10,8,0.02,0.0,0.05,98,10,-0.88
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,15,100,C,0.9,0.84,0.95,10,10,0.03,0.0,0.07,97,14,-0.87
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,20,100,C,0.9,0.84,0.96,10,8,0.02,0.0,0.05,98,24,-0.88
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,30,100,C,0.9,0.84,0.96,10,8,0.13,0.07,0.2,87,28,-0.77
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,50,100,C,0.91,0.85,0.96,9,3,0.38,0.28,0.48,62,32,-0.53
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,75,100,C,0.77,0.69,0.85,23,16,0.14,0.07,0.21,86,32,-0.63
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,100,100,C,0.75,0.66,0.83,25,15,0.05,0.01,0.1,95,30,-0.7
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,5,100,C,0.93,0.88,0.97,7,4,0.08,0.03,0.13,92,8,-0.85
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,7,100,C,0.96,0.92,0.99,4,2,0.09,0.04,0.15,91,10,-0.87
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,10,100,C,0.93,0.87,0.98,7,4,0.07,0.03,0.12,93,12,-0.86
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,15,100,C,0.89,0.83,0.95,11,9,0.14,0.08,0.21,86,10,-0.75
