model,model_family,variant,condition_set,num_keys,num_updates,layer,p_last_normal,p_last_ablated,delta,n_heads_ablated,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters_n200,2,50,32,0.0206,0.0379,0.0173,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters_n200,2,50,33,0.123,0.1675,0.0445,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters_n200,2,50,34,0.1364,0.1756,0.0393,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters_n200,2,50,35,0.2885,0.2281,-0.0604,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,5,31,0.0173,0.0489,0.0316,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N5; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,5,32,0.3923,0.2455,-0.1469,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N5; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,5,33,0.8097,0.8168,0.0072,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N5; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,5,34,0.8205,0.809,-0.0115,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N5; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,5,35,0.9994,0.9928,-0.0065,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N5; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,50,31,0.0144,0.0155,0.0011,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,50,32,0.3787,0.1657,-0.213,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,50,33,0.7329,0.6602,-0.0727,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,50,34,0.7866,0.6723,-0.1143,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
Qwen2.5-3B-Instruct,Qwen2.5,lora,promoters_n200,2,50,35,0.9851,0.8748,-0.1103,8,raw,lora_intervention/experiments/ablation_rerun_results/results.json,n=200 paired; K2N50; heads cluster L32H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,2,30,30,0.4708,0.2587,-0.2121,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,2,30,31,0.5347,0.273,-0.2617,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,2,30,32,0.6041,0.2308,-0.3733,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,2,30,33,0.6436,0.3481,-0.2955,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,10,50,30,0.1092,0.036,-0.0733,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,10,50,31,0.1477,0.0304,-0.1173,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,10,50,32,0.1146,0.0191,-0.0955,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,base,promoters_n200,10,50,33,0.2095,0.0201,-0.1895,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,2,30,30,0.7453,0.1591,-0.5862,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,2,30,31,0.7955,0.2047,-0.5908,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,2,30,32,0.9643,0.1637,-0.8006,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,2,30,33,0.9992,0.175,-0.8241,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K2N30; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,10,50,30,0.7356,0.0516,-0.684,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,10,50,31,0.788,0.0734,-0.7145,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,10,50,32,0.9343,0.0637,-0.8706,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
gemma-3-4b-it,Gemma-3,lora,promoters_n200,10,50,33,0.9847,0.0575,-0.9273,8,raw,lora_intervention/experiments/gemma_results/ablation/results.json,n=200 paired; K10N50; heads cluster L23H3
