model,model_family,variant,dataset,num_keys,num_updates,condition,target,layer,p_target,behavioral_acc,ci_lower,ci_upper,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,FVQ,v_first,35,0.441,,0.341,0.54,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,CVQ,v_last,32,0.985,,0.961,0.999,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,CVQ,v_last,33,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,CVQ,v_last,34,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,CVQ,v_last,35,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,FVQ,v_first,32,0.967,,0.933,0.993,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,FVQ,v_first,33,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,FVQ,v_first,34,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,5,FVQ,v_first,35,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,CVQ,v_last,32,0.932,,0.883,0.971,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,CVQ,v_last,33,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,CVQ,v_last,34,0.991,,0.972,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,CVQ,v_last,35,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,FVQ,v_first,32,0.95,,0.908,0.989,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,FVQ,v_first,33,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,FVQ,v_first,34,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,10,FVQ,v_first,35,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,CVQ,v_last,32,0.621,,0.528,0.711,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,CVQ,v_last,33,0.784,,0.703,0.855,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,CVQ,v_last,34,0.766,,0.682,0.842,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,CVQ,v_last,35,0.899,,0.837,0.954,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,FVQ,v_first,32,0.922,,0.869,0.967,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,FVQ,v_first,33,0.998,,0.996,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,FVQ,v_first,34,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,lora,arbitrary_single,2,50,FVQ,v_first,35,1.0,,1.0,1.0,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,0,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,1,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,2,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,3,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,4,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,5,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,6,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,7,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,8,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,9,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,10,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,11,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,12,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,13,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,14,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,15,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,16,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,17,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,18,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,19,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,20,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,21,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,22,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,23,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,24,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,25,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,26,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,27,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,28,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,29,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,30,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,31,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,32,0.0,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,CVQ,v_last,33,0.8019,0.63,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,0,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
gemma-3-4b-it,Gemma-3,base,arbitrary_single,2,5,FVQ,v_first,1,0.0,0.77,,,raw,v3/results_vllm/logit_lens/gemma-3-4b-it-baseline-hf/stage2_logit_lens_20260525_195739.json,latest of 2 timestamps kept
