theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,75,CVQ,semantic,last,0.17,,0.1,0.25,,100,,10,0.1889,"{""correct"": 17, ""garbage"": 10, ""intermediate_intrusion"": 73}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,75,FVQ,semantic,first,0.97,,0.93,1.0,,100,,0,0.97,"{""correct"": 97, ""intermediate_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,100,CVQ,semantic,last,0.06,,0.02,0.11,,100,,21,0.0759,"{""correct"": 6, ""garbage"": 21, ""intermediate_intrusion"": 72, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,100,FVQ,semantic,first,0.98,,0.95,1.0,,100,,2,1.0,"{""correct"": 98, ""garbage"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,5,CVQ,semantic,last,0.27,,0.1898,0.36,,100,,0,0.27,"{""correct"": 27, ""intermediate_intrusion"": 71, ""primacy_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,5,FVQ,semantic,first,0.95,,0.9,0.99,,100,,1,0.9596,"{""correct"": 95, ""garbage"": 1, ""intermediate_intrusion"": 4}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,7,CVQ,semantic,last,0.34,,0.2498,0.43,,100,,1,0.3434,"{""correct"": 34, ""garbage"": 1, ""intermediate_intrusion"": 65}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,7,FVQ,semantic,first,0.97,,0.93,1.0,,100,,0,0.97,"{""correct"": 97, ""intermediate_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,10,CVQ,semantic,last,0.26,,0.18,0.35,,100,,2,0.2653,"{""correct"": 26, ""garbage"": 2, ""intermediate_intrusion"": 72}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,3,10,FVQ,semantic,first,0.89,,0.83,0.9402,,100,,2,0.9082,"{""correct"": 89, ""garbage"": 2, ""intermediate_intrusion"": 8, ""recency_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
