state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
base,10,20,CVQ,3,0.4428571428571429,0.49490740740740746,0.5038265306122449,0.478125,0.2222,180,180,140,40
base,10,20,CVQ,4,0.49107142857142866,0.5141975308641975,0.5142857142857143,0.48125,0.2222,180,180,140,40
base,10,20,CVQ,5,0.51875,0.48256172839506173,0.5135204081632654,0.446875,0.2222,180,180,140,40
base,10,20,CVQ,6,0.49821428571428567,0.49783950617283945,0.4808673469387756,0.503125,0.2222,180,180,140,40
base,10,20,CVQ,7,0.4616071428571429,0.5455246913580247,0.4826530612244898,0.421875,0.2222,180,180,140,40
base,10,20,CVQ,8,0.46964285714285714,0.5617283950617284,0.5214285714285714,0.546875,0.2222,180,180,140,40
base,10,20,CVQ,9,0.4955357142857143,0.5350308641975309,0.4767857142857143,0.553125,0.2222,180,180,140,40
base,10,20,CVQ,10,0.49821428571428567,0.5141975308641975,0.5079081632653061,0.45,0.2222,180,180,140,40
base,10,20,CVQ,11,0.5080357142857144,0.5013888888888889,0.5244897959183673,0.403125,0.2222,180,180,140,40
base,10,20,CVQ,12,0.49375,0.5520061728395061,0.5466836734693878,0.484375,0.2222,180,180,140,40
base,10,20,CVQ,13,0.50625,0.49861111111111106,0.4783163265306122,0.440625,0.2222,180,180,140,40
base,10,20,CVQ,14,0.5071428571428572,0.466358024691358,0.48903061224489786,0.521875,0.2222,180,180,140,40
base,10,20,CVQ,15,0.5098214285714285,0.480246913580247,0.5352040816326531,0.565625,0.2222,180,180,140,40
base,10,20,CVQ,16,0.54375,0.5152777777777777,0.48239795918367345,0.475,0.2222,180,180,140,40
base,10,20,CVQ,17,0.5348214285714286,0.5391975308641975,0.4895408163265305,0.446875,0.2222,180,180,140,40
base,10,20,CVQ,18,0.5107142857142858,0.5013888888888889,0.5104591836734693,0.503125,0.2222,180,180,140,40
base,10,20,CVQ,19,0.5151785714285715,0.47098765432098766,0.4926020408163265,0.509375,0.2222,180,180,140,40
base,10,20,CVQ,20,0.5428571428571429,0.5174382716049383,0.4625,0.5375,0.2222,180,180,140,40
base,10,20,CVQ,21,0.5339285714285714,0.525462962962963,0.5091836734693878,0.5125,0.2222,180,180,140,40
base,10,20,CVQ,22,0.5357142857142858,0.5393518518518519,0.5438775510204082,0.484375,0.2222,180,180,140,40
base,10,20,CVQ,23,0.5491071428571429,0.546604938271605,0.5466836734693878,0.490625,0.2222,180,180,140,40
base,10,20,CVQ,24,0.5669642857142857,0.4979938271604939,0.5405612244897959,0.475,0.2222,180,180,140,40
base,10,20,CVQ,25,0.5964285714285714,0.4561728395061729,0.4913265306122449,0.40625,0.2222,180,180,140,40
