theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,FVQ,ordinal,first,1.0,,,,,100,,,,,,,raw,lora_intervention/experiments/gemma_results/block/results_K2N30.json,behavioural accuracy only; per-layer P(v_last) / P(v_first) curves remain in the source file
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,19,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,CVQ,ordinal,20,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,FVQ,ordinal,1,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,2,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,4,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,6,0.9375,,0.8785930169610395,0.9964069830389605,0.058906983038960456,80,75,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,8,0.8854166666666666,,0.8195758312681732,0.95125750206516,0.06584083539849336,96,85,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,10,0.8392857142857143,,0.7705679479941229,0.9080034805773057,0.06871776629159145,112,94,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,12,0.84375,,0.780195615935263,0.907304384064737,0.06355438406473707,128,108,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,14,0.8125,,0.7446590062829901,0.8803409937170099,0.06784099371700994,128,104,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,16,0.7708333333333334,,0.70236493703996,0.8393017296267068,0.06846839629337345,144,111,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,18,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,20,0.8854166666666666,,0.8195758312681732,0.95125750206516,0.06584083539849336,96,85,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,22,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,24,0.875,,0.8070530407258207,0.9429469592741793,0.06794695927417928,96,84,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,26,0.90625,,0.845026566666948,0.967473433333052,0.061223433333052,96,87,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,28,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,30,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,32,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,34,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,36,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,38,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,40,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,42,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,44,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,46,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,IVQ,ordinal,48,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,50,CVQ,ordinal,50,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N50; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,FVQ,ordinal,1,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,2,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,4,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,6,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,8,0.7708333333333334,,0.70236493703996,0.8393017296267068,0.06846839629337345,144,111,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,10,0.725,,0.6562267209117956,0.7937732790882044,0.06877327908820446,160,116,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,12,0.8203125,,0.7534797296727171,0.8871452703272829,0.06683277032728288,128,105,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,14,0.7102272727272727,,0.6436232537909743,0.7768312916635711,0.06660401893629847,176,125,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,16,0.5520833333333334,,0.48242115639285843,0.6217455102738083,0.06966217694047493,192,106,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,18,0.7638888888888888,,0.6947552378058229,0.8330225399719547,0.06913365108306593,144,110,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,20,0.7777777777777778,,0.7099987013852602,0.8455568541702954,0.06777907639251761,144,112,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,22,0.7847222222222222,,0.7176572728896237,0.8517871715548208,0.06706494933259853,144,113,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,24,0.7916666666666666,,0.7253414528481628,0.8579918804851705,0.06632521381850383,144,114,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,26,0.7375,,0.6696730668944486,0.8053269331055515,0.06782693310555145,160,118,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,28,0.8203125,,0.7534797296727171,0.8871452703272829,0.06683277032728288,128,105,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,30,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,75,IVQ,ordinal,32,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N75; condition key base_block
