model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,17,0.5,0.11679999999999999,0.015051910177781418,14.828,0.23855734065462703,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,18,0.529412,0.8779999999999999,0.014696938456699081,1.486,0.9194291439680157,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,19,0.558824,0.8779999999999999,0.009959919678390996,1.5,0.9196237967405831,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,20,0.588235,0.8831999999999999,0.015574337867145443,1.5124000000000002,0.9220495003977588,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,21,0.617647,0.8815999999999999,0.013230268326832993,1.5188000000000001,0.9213596513706145,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,22,0.647059,0.9328,0.007858753081755373,1.2804,0.9567304750277211,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,23,0.676471,0.9452,0.004664761515876244,1.2352,0.9648042291503236,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,24,0.705882,0.9944000000000001,0.0034409301068170535,1.0211999999999999,0.9969433333333333,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,25,0.735294,0.9936,0.003878143885933067,1.0224000000000002,0.9964766666666666,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,26,0.764706,0.9928000000000001,0.004118252056394804,1.034,0.9955418439716311,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,27,0.794118,0.9924,0.004079215610874232,1.0288,0.9955555555555555,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,28,0.823529,0.9924,0.004079215610874232,1.0284,0.9955753623188406,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,29,0.852941,0.9928000000000001,0.003919183588453089,1.0288,0.9957685106382979,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,30,0.882353,0.9916,0.004800000000000005,1.0184000000000002,0.9956148148148148,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
