model,dataset,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
Qwen2.5-3B-Instruct,arbitrary_single,7,10,0.7,0.52,0.18,0.61,0.79,0.42,0.62,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,15,0.72,0.43,0.29,0.6398,0.81,0.3398,0.53,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,20,0.66,0.52,0.14,0.57,0.75,0.42,0.62,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,30,0.5,0.38,0.12,0.4,0.6,0.28,0.48,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,50,0.52,0.46,0.06,0.42,0.62,0.36,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,75,0.44,0.51,-0.07,0.35,0.54,0.41,0.61,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,7,100,0.37,0.55,-0.18,0.28,0.47,0.45,0.64,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,5,0.76,0.57,0.19,0.67,0.84,0.47,0.66,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,7,0.63,0.51,0.12,0.53,0.72,0.41,0.6,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,10,0.62,0.4,0.22,0.52,0.72,0.3,0.5,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,15,0.49,0.52,-0.03,0.39,0.58,0.42,0.6102,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,20,0.44,0.52,-0.08,0.34,0.54,0.42,0.62,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,30,0.41,0.46,-0.05,0.32,0.51,0.36,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,50,0.42,0.5,-0.08,0.32,0.52,0.4,0.6,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,75,0.22,0.58,-0.36,0.14,0.3,0.48,0.67,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,10,100,0.22,0.56,-0.34,0.14,0.3,0.46,0.6502,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,5,0.65,0.57,0.08,0.55,0.74,0.47,0.66,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,7,0.58,0.45,0.13,0.48,0.67,0.36,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,10,0.58,0.46,0.12,0.48,0.67,0.36,0.56,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,15,0.44,0.49,-0.05,0.35,0.54,0.39,0.59,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,20,0.32,0.58,-0.26,0.23,0.42,0.48,0.67,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,30,0.35,0.6,-0.25,0.2598,0.44,0.5,0.69,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,50,0.18,0.59,-0.41,0.11,0.26,0.49,0.68,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,75,0.11,0.56,-0.45,0.05,0.18,0.46,0.66,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,15,100,0.06,0.5,-0.44,0.02,0.11,0.4,0.6,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,5,0.64,0.4,0.24,0.54,0.73,0.31,0.5,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,7,0.61,0.42,0.19,0.52,0.71,0.33,0.52,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,10,0.5,0.45,0.05,0.4,0.6,0.35,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,15,0.34,0.5,-0.16,0.25,0.4202,0.4,0.6,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,20,0.21,0.53,-0.32,0.13,0.29,0.44,0.63,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,30,0.21,0.51,-0.3,0.13,0.29,0.41,0.6,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,50,0.08,0.62,-0.54,0.03,0.13,0.53,0.71,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,75,0.06,0.56,-0.5,0.02,0.11,0.46,0.66,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,20,100,0.03,0.55,-0.52,0.0,0.07,0.4598,0.65,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,5,0.65,0.35,0.3,0.55,0.74,0.25,0.44,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,7,0.53,0.46,0.07,0.44,0.63,0.37,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,10,0.29,0.46,-0.17,0.21,0.38,0.37,0.55,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,15,0.34,0.58,-0.24,0.25,0.43,0.49,0.68,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,20,0.16,0.61,-0.45,0.09,0.23,0.51,0.7,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,30,0.15,0.59,-0.44,0.08,0.22,0.49,0.68,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,50,0.05,0.43,-0.38,0.01,0.1,0.34,0.53,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,25,75,0.06,0.6,-0.54,0.02,0.11,0.5,0.6902,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,5,0.57,0.42,0.15,0.47,0.67,0.32,0.52,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,7,0.55,0.39,0.16,0.45,0.64,0.3,0.48,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,10,0.26,0.4,-0.14,0.18,0.35,0.3,0.49,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,15,0.29,0.52,-0.23,0.2,0.39,0.42,0.61,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,20,0.22,0.57,-0.35,0.14,0.3,0.47,0.67,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,30,0.12,0.6,-0.48,0.06,0.19,0.51,0.69,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,50,0.04,0.54,-0.5,0.01,0.08,0.44,0.64,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,arbitrary_single,30,75,0.01,0.56,-0.55,0.0,0.03,0.46,0.66,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json
Qwen2.5-3B-Instruct,semantic_multi,2,5,0.88,0.77,0.11,0.82,0.94,0.69,0.85,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,7,0.89,0.72,0.17,0.83,0.95,0.63,0.8,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,10,0.84,0.58,0.26,0.77,0.91,0.48,0.67,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,15,0.9,0.54,0.36,0.84,0.95,0.44,0.64,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,20,0.92,0.6,0.32,0.86,0.97,0.5,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,30,0.91,0.53,0.38,0.85,0.96,0.4398,0.63,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,2,50,0.89,0.4,0.49,0.82,0.95,0.31,0.5,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,5,0.85,0.78,0.07,0.78,0.92,0.7,0.86,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,7,0.86,0.73,0.13,0.79,0.92,0.64,0.81,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,10,0.78,0.62,0.16,0.7,0.86,0.52,0.71,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,15,0.77,0.57,0.2,0.69,0.85,0.47,0.67,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,20,0.79,0.54,0.25,0.7,0.87,0.44,0.64,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,30,0.71,0.46,0.25,0.62,0.8,0.36,0.55,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,3,50,0.81,0.48,0.33,0.73,0.88,0.39,0.58,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,5,0.89,0.75,0.14,0.83,0.95,0.66,0.83,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,7,0.82,0.62,0.2,0.74,0.89,0.52,0.71,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,10,0.76,0.7,0.06,0.68,0.84,0.61,0.79,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,15,0.77,0.56,0.21,0.68,0.85,0.47,0.66,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,20,0.63,0.48,0.15,0.53,0.73,0.39,0.58,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,30,0.61,0.55,0.06,0.51,0.71,0.45,0.65,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,5,50,0.66,0.49,0.17,0.57,0.75,0.4,0.59,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,5,0.87,0.78,0.09,0.8,0.93,0.7,0.86,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,7,0.71,0.66,0.05,0.62,0.8,0.56,0.75,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,10,0.73,0.55,0.18,0.64,0.81,0.45,0.65,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,15,0.74,0.58,0.16,0.66,0.82,0.48,0.68,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,20,0.53,0.52,0.01,0.43,0.63,0.42,0.62,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,30,0.59,0.62,-0.03,0.5,0.68,0.53,0.71,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,7,50,0.46,0.54,-0.08,0.37,0.56,0.44,0.63,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,5,0.77,0.61,0.16,0.69,0.85,0.51,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,7,0.74,0.57,0.17,0.65,0.82,0.47,0.66,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,10,0.69,0.51,0.18,0.6,0.78,0.41,0.6,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,15,0.58,0.57,0.01,0.48,0.67,0.47,0.66,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,20,0.59,0.7,-0.11,0.49,0.69,0.61,0.78,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,30,0.53,0.59,-0.06,0.44,0.63,0.5,0.69,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,10,50,0.34,0.61,-0.27,0.25,0.43,0.51,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,5,0.81,0.61,0.2,0.73,0.88,0.51,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,7,0.8,0.59,0.21,0.72,0.87,0.5,0.69,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,10,0.73,0.58,0.15,0.64,0.81,0.48,0.68,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,15,0.63,0.49,0.14,0.53,0.72,0.39,0.59,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,20,0.46,0.52,-0.06,0.36,0.56,0.42,0.6102,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,30,0.4,0.59,-0.19,0.3,0.5,0.49,0.68,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,15,50,0.24,0.69,-0.45,0.16,0.32,0.6,0.78,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,5,0.78,0.48,0.3,0.7,0.86,0.39,0.58,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,7,0.73,0.46,0.27,0.64,0.82,0.36,0.55,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,10,0.66,0.43,0.23,0.57,0.75,0.34,0.52,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,15,0.44,0.58,-0.14,0.34,0.5302,0.48,0.67,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,20,0.46,0.61,-0.15,0.36,0.57,0.52,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,30,0.26,0.66,-0.4,0.18,0.35,0.57,0.75,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,20,50,0.1,0.65,-0.55,0.05,0.16,0.55,0.74,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,5,0.77,0.5,0.27,0.68,0.85,0.4,0.5902,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,7,0.73,0.56,0.17,0.64,0.82,0.46,0.66,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,10,0.49,0.58,-0.09,0.39,0.58,0.48,0.68,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,15,0.45,0.62,-0.17,0.35,0.55,0.52,0.72,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,20,0.37,0.58,-0.21,0.28,0.47,0.48,0.68,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,30,0.23,0.63,-0.4,0.15,0.31,0.53,0.72,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,25,50,0.14,0.58,-0.44,0.07,0.21,0.49,0.67,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,5,0.81,0.42,0.39,0.73,0.88,0.32,0.52,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,7,0.59,0.44,0.15,0.5,0.69,0.34,0.54,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,10,0.54,0.47,0.07,0.44,0.63,0.38,0.57,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,15,0.43,0.54,-0.11,0.33,0.53,0.44,0.63,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,20,0.31,0.56,-0.25,0.22,0.4,0.46,0.65,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,30,0.24,0.61,-0.37,0.16,0.33,0.51,0.7,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen2.5-3B-Instruct,semantic_multi,30,50,0.07,0.52,-0.45,0.03,0.13,0.42,0.62,100,100,v3/results_vllm/semantic_multi/Qwen2.5-3B-Instruct/stage1_sweep_20260409_001814.json
Qwen3.5-0.8B,arbitrary_single,2,5,0.95,0.53,0.42,0.9,0.99,0.43,0.63,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,7,0.93,0.55,0.38,0.88,0.97,0.46,0.65,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,10,0.97,0.41,0.56,0.93,1.0,0.32,0.51,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,15,0.83,0.3,0.53,0.75,0.9,0.21,0.4,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,20,0.79,0.3,0.49,0.71,0.8602,0.21,0.39,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,30,0.9,0.24,0.66,0.83,0.95,0.16,0.33,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,50,0.9,0.15,0.75,0.84,0.95,0.08,0.22,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,75,0.98,0.14,0.84,0.95,1.0,0.08,0.21,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,2,100,0.94,0.07,0.87,0.89,0.98,0.03,0.13,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,3,5,0.96,0.53,0.43,0.92,0.99,0.43,0.63,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,3,7,0.94,0.52,0.42,0.89,0.98,0.42,0.62,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,3,10,0.92,0.38,0.54,0.86,0.97,0.29,0.48,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,3,15,0.86,0.35,0.51,0.79,0.92,0.26,0.44,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
Qwen3.5-0.8B,arbitrary_single,3,20,0.9,0.22,0.68,0.84,0.95,0.14,0.31,100,100,v3/results_vllm/arbitrary_single/Qwen3.5-0.8B/stage1_sweep_20260509_110846.json
