model,dataset,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
Qwen2.5-0.5B-Instruct,arbitrary_single,7,5,0.64,0.25,0.39,0.55,0.74,0.17,0.34,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,7,0.55,0.29,0.26,0.45,0.65,0.21,0.38,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,10,0.51,0.21,0.3,0.41,0.61,0.13,0.29,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,15,0.5,0.09,0.41,0.4,0.6,0.04,0.15,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,20,0.42,0.1,0.32,0.33,0.51,0.0498,0.16,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,30,0.43,0.02,0.41,0.33,0.53,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,50,0.35,0.0,0.35,0.26,0.45,0.0,0.0,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,75,0.19,0.02,0.17,0.12,0.27,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,7,100,0.18,0.01,0.17,0.11,0.26,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,5,0.61,0.27,0.34,0.51,0.71,0.19,0.36,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,7,0.56,0.2,0.36,0.47,0.66,0.12,0.28,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,10,0.54,0.17,0.37,0.44,0.64,0.1,0.25,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,15,0.45,0.07,0.38,0.35,0.54,0.02,0.12,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,10,20,0.31,0.01,0.3,0.22,0.4,0.0,0.04,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
